SourceRowNumber,Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,IsExactDuplicate,SignedRevenue
603033,C542740,22926,IVORY GIANT GARDEN THERMOMETER,-1,2011-01-31 15:59:00,5.95,12853.0,United Kingdom,False,-5.95
603034,C542740,22934,BAKING MOULD EASTER EGG WHITE CHOC,-3,2011-01-31 15:59:00,2.95,12853.0,United Kingdom,False,-8.850000000000001
603059,C542742,85124B,BLUE JUICY FRUIT PHOTO FRAME,-6,2011-01-31 16:26:00,2.55,15358.0,United Kingdom,False,-15.299999999999999
603060,C542742,22821,GIFT BAG PSYCHEDELIC APPLES,-12,2011-01-31 16:26:00,0.65,15358.0,United Kingdom,False,-7.800000000000001
603061,C542742,84535B,FAIRY CAKES NOTEBOOK A6 SIZE,-94,2011-01-31 16:26:00,0.65,15358.0,United Kingdom,False,-61.1
603062,C542744,22700,BLACK AND WHITE DOG BOWL,-10,2011-01-31 16:32:00,0.85,16191.0,United Kingdom,False,-8.5
603063,C542744,22701,PINK DOG BOWL,-2,2011-01-31 16:32:00,0.85,16191.0,United Kingdom,False,-1.7
603088,C542748,22969,HOMEMADE JAM SCENTED CANDLES,-12,2011-01-31 16:53:00,1.45,15881.0,United Kingdom,False,-17.4
603089,C542753,22649,STRAWBERRY FAIRY CAKE TEAPOT,-1,2011-01-31 16:57:00,4.95,15881.0,United Kingdom,False,-4.95
603204,C542781,21731,RED TOADSTOOL LED NIGHT LIGHT,-12,2011-02-01 09:38:00,1.65,12626.0,Germany,False,-19.799999999999997
603205,C542781,22634,CHILDS BREAKFAST SET SPACEBOY ,-3,2011-02-01 09:38:00,8.5,12626.0,Germany,False,-25.5
603253,C542787,85141,JARDIN ETCHED GLASS FRUITBOWL,-1,2011-02-01 10:22:00,8.95,15864.0,United Kingdom,False,-8.95
603254,C542787,21319,GLASS CHALICE GREEN  SMALL ,-1,2011-02-01 10:22:00,1.65,15864.0,United Kingdom,False,-1.65
603255,C542787,21318,GLASS CHALICE BLUE SMALL ,-2,2011-02-01 10:22:00,1.65,15864.0,United Kingdom,False,-3.3
603386,C542792,22730,ALARM CLOCK BAKELIKE IVORY,-1,2011-02-01 10:49:00,3.75,14627.0,United Kingdom,False,-3.75
603387,C542792,22505,MEMO BOARD COTTAGE DESIGN,-1,2011-02-01 10:49:00,4.95,14627.0,United Kingdom,False,-4.95
603388,C542792,21259,VICTORIAN SEWING BOX SMALL ,-1,2011-02-01 10:49:00,5.95,14627.0,United Kingdom,False,-5.95
603389,C542792,22891,TEA FOR ONE POLKADOT,-1,2011-02-01 10:49:00,4.25,14627.0,United Kingdom,False,-4.25
603390,C542792,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2011-02-01 10:49:00,2.95,14627.0,United Kingdom,False,-2.95
603391,C542793,22891,TEA FOR ONE POLKADOT,-6,2011-02-01 10:52:00,4.25,14113.0,United Kingdom,False,-25.5
603392,C542793,22111,SCOTTIE DOG HOT WATER BOTTLE,-72,2011-02-01 10:52:00,4.25,14113.0,United Kingdom,False,-306.0
603543,C542798,21531,RED RETROSPOT SUGAR JAM BOWL,-1,2011-02-01 11:09:00,2.55,12477.0,Germany,False,-2.55
603544,C542798,21429,RED GINGHAM ROSE JEWELLERY BOX,-1,2011-02-01 11:09:00,1.65,12477.0,Germany,False,-1.65
603545,C542799,22156,HEART DECORATION WITH PEARLS ,-1,2011-02-01 11:12:00,0.72,14606.0,United Kingdom,False,-0.72
603546,C542799,85054,FRENCH ENAMEL POT W LID,-1,2011-02-01 11:12:00,2.95,14606.0,United Kingdom,False,-2.95
603549,C542805,22156,HEART DECORATION WITH PEARLS ,-1,2011-02-01 11:19:00,0.85,14606.0,United Kingdom,False,-0.85
603550,C542805,85054,FRENCH ENAMEL POT W LID,-1,2011-02-01 11:19:00,2.95,14606.0,United Kingdom,False,-2.95
603611,C542832,35004B,SET OF 3 BLACK FLYING DUCKS,-12,2011-02-01 11:28:00,4.65,15694.0,United Kingdom,False,-55.800000000000004
603697,C542860,22580,ADVENT CALENDAR GINGHAM SACK,-1,2011-02-01 11:43:00,5.95,,United Kingdom,False,-5.95
603794,C542866,85063,CREAM SWEETHEART MAGAZINE RACK,-2,2011-02-01 12:14:00,14.95,15311.0,United Kingdom,False,-29.9
603795,C542866,35004G,SET OF 3 GOLD FLYING DUCKS,-2,2011-02-01 12:14:00,1.95,15311.0,United Kingdom,False,-3.9
603796,C542866,35004C,SET OF 3 COLOURED  FLYING DUCKS,-2,2011-02-01 12:14:00,4.65,15311.0,United Kingdom,False,-9.3
604604,C542910,20726,LUNCH BAG WOODLAND,-1,2011-02-01 15:38:00,1.45,17511.0,United Kingdom,False,-1.45
604605,C542910,22671,FRENCH LAUNDRY SIGN BLUE METAL,-1,2011-02-01 15:38:00,1.45,17511.0,United Kingdom,False,-1.45
604606,C542910,85099B,JUMBO BAG RED RETROSPOT,-1,2011-02-01 15:38:00,1.65,17511.0,United Kingdom,False,-1.65
604607,C542910,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2011-02-01 15:38:00,2.55,17511.0,United Kingdom,False,-2.55
604608,C542910,22360,GLASS JAR ENGLISH CONFECTIONERY,-3,2011-02-01 15:38:00,2.55,17511.0,United Kingdom,False,-7.6499999999999995
604609,C542910,22659,LUNCH BOX I LOVE LONDON,-1,2011-02-01 15:38:00,1.65,17511.0,United Kingdom,False,-1.65
604610,C542910,22061,LARGE CAKE STAND  HANGING STRAWBERY,-1,2011-02-01 15:38:00,8.5,17511.0,United Kingdom,False,-8.5
604611,C542910,21537,RED RETROSPOT PUDDING BOWL,-1,2011-02-01 15:38:00,3.75,17511.0,United Kingdom,False,-3.75
604612,C542910,20727,LUNCH BAG  BLACK SKULL.,-2,2011-02-01 15:38:00,1.45,17511.0,United Kingdom,False,-2.9
604613,C542910,22169,FAMILY ALBUM WHITE PICTURE FRAME,-1,2011-02-01 15:38:00,7.65,17511.0,United Kingdom,False,-7.65
604614,C542910,22423,REGENCY CAKESTAND 3 TIER,-2,2011-02-01 15:38:00,10.95,17511.0,United Kingdom,False,-21.9
604627,C542912,22697,GREEN REGENCY TEACUP AND SAUCER,-1,2011-02-01 15:49:00,2.95,13141.0,United Kingdom,False,-2.95
604628,C542913,22197,SMALL POPCORN HOLDER,-2,2011-02-01 15:57:00,0.85,16779.0,United Kingdom,False,-1.7
604629,C542913,21041,RED RETROSPOT OVEN GLOVE DOUBLE,-1,2011-02-01 15:57:00,2.95,16779.0,United Kingdom,False,-2.95
604660,C542916,M,Manual,-1,2011-02-01 16:21:00,4.0,15940.0,United Kingdom,False,-4.0
604721,C542924,22423,REGENCY CAKESTAND 3 TIER,-2,2011-02-02 09:39:00,12.75,12559.0,Germany,False,-25.5
604921,C542951,22856,ASSORTED EASTER DECORATIONS  BELLS,-2,2011-02-02 11:16:00,1.25,16985.0,United Kingdom,False,-2.5
604940,C542991,85019C,CURIOUS  IMAGES NOTEBOOK SET,-12,2011-02-02 11:54:00,4.25,14460.0,United Kingdom,False,-51.0
605243,C543004,22470,HEART OF WICKER LARGE,-4,2011-02-02 12:40:00,2.95,13939.0,United Kingdom,False,-11.8
605682,C543026,22198,LARGE POPCORN HOLDER ,-2,2011-02-02 14:44:00,1.65,16717.0,United Kingdom,False,-3.3
605683,C543026,22768,FAMILY PHOTO FRAME CORNICE,-2,2011-02-02 14:44:00,9.95,16717.0,United Kingdom,False,-19.9
605684,C543026,21844,RED RETROSPOT MUG,-2,2011-02-02 14:44:00,2.95,16717.0,United Kingdom,False,-5.9
605808,C543039,84946,ANTIQUE SILVER TEA GLASS ETCHED,-2,2011-02-02 16:31:00,1.25,16992.0,United Kingdom,False,-2.5
605809,C543039,22768,FAMILY PHOTO FRAME CORNICE,-1,2011-02-02 16:31:00,9.95,16992.0,United Kingdom,False,-9.95
606072,C543042,22087,PAPER BUNTING WHITE LACE,-12,2011-02-02 17:09:00,2.95,17337.0,United Kingdom,False,-35.400000000000006
606123,C543050,POST,POSTAGE,-1,2011-02-03 10:14:00,18.0,12625.0,Germany,False,-18.0
606124,C543050,22242,5 HOOK HANGER MAGIC TOADSTOOL,-24,2011-02-03 10:14:00,1.65,12625.0,Germany,False,-39.599999999999994
606125,C543050,22962,JAM JAR WITH PINK LID,-2,2011-02-03 10:14:00,0.85,12625.0,Germany,False,-1.7
606126,C543050,22637,PIGGY BANK RETROSPOT ,-2,2011-02-03 10:14:00,2.55,12625.0,Germany,False,-5.1
606127,C543050,22963,JAM JAR WITH GREEN LID,-6,2011-02-03 10:14:00,0.85,12625.0,Germany,False,-5.1
606129,C543052,22797,CHEST OF DRAWERS GINGHAM HEART ,-1,2011-02-03 10:20:00,16.95,14180.0,United Kingdom,False,-16.95
606545,C543109,22291,HANGING CHICK CREAM DECORATION,-24,2011-02-03 12:39:00,1.45,12775.0,Netherlands,False,-34.8
606617,C543112,22960,JAM MAKING SET WITH JARS,-3,2011-02-03 12:59:00,4.25,14133.0,United Kingdom,False,-12.75
606750,C543119,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,-1,2011-02-03 13:31:00,1.25,14606.0,United Kingdom,False,-1.25
607259,C543175,POST,POSTAGE,-1,2011-02-04 09:46:00,18.0,12712.0,Germany,False,-18.0
607260,C543175,22763,KEY CABINET MA CAMPAGNE,-2,2011-02-04 09:46:00,9.95,12712.0,Germany,False,-19.9
607261,C543175,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,-2,2011-02-04 09:46:00,8.5,12712.0,Germany,False,-17.0
607262,C543175,22168,ORGANISER WOOD ANTIQUE WHITE ,-2,2011-02-04 09:46:00,8.5,12712.0,Germany,False,-17.0
607501,C543185,22333,RETROSPOT PARTY BAG + STICKER SET,-14,2011-02-04 11:22:00,1.65,,United Kingdom,False,-23.099999999999998
607502,C543185,22332,SKULLS PARTY BAG + STICKER SET,-14,2011-02-04 11:22:00,1.65,,United Kingdom,False,-23.099999999999998
607749,C543195,22061,LARGE CAKE STAND  HANGING STRAWBERY,-1,2011-02-04 12:29:00,8.5,13113.0,United Kingdom,False,-8.5
607750,C543195,22423,REGENCY CAKESTAND 3 TIER,-1,2011-02-04 12:29:00,10.95,13113.0,United Kingdom,False,-10.95
608074,C543239,84800M,MEDIUM WHITE/PINK ROSE ART FLOWER,-3,2011-02-04 13:47:00,1.69,14462.0,United Kingdom,False,-5.07
608075,C543239,84800S,SMALL WHITE/PINK ROSE ART FLOWER,-2,2011-02-04 13:47:00,1.25,14462.0,United Kingdom,False,-2.5
608076,C543239,84799,SPRIG LAVENDER ARTIFICIAL FLOWER,-12,2011-02-04 13:47:00,1.25,14462.0,United Kingdom,False,-15.0
608079,C543241,84766,SILVER ROCOCO CANDLE STICK,-1,2011-02-04 14:02:00,1.95,17315.0,United Kingdom,False,-1.95
608106,C543244,21463,MIRRORED DISCO BALL ,-1,2011-02-04 14:06:00,5.95,16725.0,United Kingdom,False,-5.95
608649,C543290,22617,BAKING SET SPACEBOY DESIGN,-2,2011-02-07 10:44:00,4.95,16686.0,United Kingdom,False,-9.9
608650,C543290,21579,LOLITA  DESIGN  COTTON TOTE BAG,-2,2011-02-07 10:44:00,2.25,16686.0,United Kingdom,False,-4.5
608966,C543307,22838,3 TIER CAKE TIN RED AND CREAM,-1,2011-02-07 11:58:00,14.95,18118.0,United Kingdom,False,-14.95
609203,C543347,85049G,CHOCOLATE BOX RIBBONS ,-2,2011-02-07 12:44:00,1.25,12472.0,Germany,False,-2.5
609204,C543347,85049E,SCANDINAVIAN REDS RIBBONS,-3,2011-02-07 12:44:00,1.25,12472.0,Germany,False,-3.75
609205,C543347,22629,SPACEBOY LUNCH BOX ,-1,2011-02-07 12:44:00,1.95,12472.0,Germany,False,-1.95
609206,C543347,22467,GUMBALL COAT RACK,-6,2011-02-07 12:44:00,2.55,12472.0,Germany,False,-15.299999999999999
609207,C543347,22423,REGENCY CAKESTAND 3 TIER,-2,2011-02-07 12:44:00,12.75,12472.0,Germany,False,-25.5
609208,C543347,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,-2,2011-02-07 12:44:00,2.95,12472.0,Germany,False,-5.9
609209,C543347,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,-3,2011-02-07 12:44:00,2.95,12472.0,Germany,False,-8.850000000000001
609210,C543347,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",-3,2011-02-07 12:44:00,0.85,12472.0,Germany,False,-2.55
609211,C543347,22242,5 HOOK HANGER MAGIC TOADSTOOL,-5,2011-02-07 12:44:00,1.65,12472.0,Germany,False,-8.25
609212,C543347,22077,6 RIBBONS RUSTIC CHARM,-5,2011-02-07 12:44:00,1.65,12472.0,Germany,False,-8.25
609213,C543347,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,-2,2011-02-07 12:44:00,1.25,12472.0,Germany,False,-2.5
609214,C543347,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,-2,2011-02-07 12:44:00,1.25,12472.0,Germany,False,-2.5
609215,C543347,21668,RED STRIPE CERAMIC DRAWER KNOB,-1,2011-02-07 12:44:00,1.25,12472.0,Germany,False,-1.25
609216,C543347,21244,BLUE POLKADOT PLATE ,-2,2011-02-07 12:44:00,1.69,12472.0,Germany,False,-3.38
609217,C543347,20676,RED RETROSPOT BOWL,-2,2011-02-07 12:44:00,1.25,12472.0,Germany,False,-2.5
609272,C543353,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,-1,2011-02-07 13:41:00,1.25,16033.0,United Kingdom,False,-1.25
609273,C543353,22637,PIGGY BANK RETROSPOT ,-1,2011-02-07 13:41:00,2.55,16033.0,United Kingdom,False,-2.55
609274,C543353,22727,ALARM CLOCK BAKELIKE RED ,-2,2011-02-07 13:41:00,3.75,16033.0,United Kingdom,False,-7.5
609275,C543353,22384,LUNCH BAG PINK POLKADOT,-1,2011-02-07 13:41:00,1.65,16033.0,United Kingdom,False,-1.65
609353,C543356,22791,T-LIGHT GLASS FLUTED ANTIQUE,-2,2011-02-07 13:52:00,1.25,14443.0,United Kingdom,False,-2.5
609354,C543356,21232,STRAWBERRY CERAMIC TRINKET BOX,-1,2011-02-07 13:52:00,1.25,14443.0,United Kingdom,False,-1.25
609537,C543368,22942,CHRISTMAS LIGHTS 10 SANTAS ,-3,2011-02-07 14:46:00,8.5,18245.0,United Kingdom,False,-25.5
609538,C543368,22941,CHRISTMAS LIGHTS 10 REINDEER,-4,2011-02-07 14:46:00,8.5,18245.0,United Kingdom,False,-34.0
609762,C543375,22325,MOBILE VINTAGE HEARTS ,-3,2011-02-07 15:09:00,4.95,16321.0,Australia,False,-14.850000000000001
609763,C543375,22087,PAPER BUNTING WHITE LACE,-18,2011-02-07 15:09:00,2.95,16321.0,Australia,False,-53.1
609794,C543381,84754,S/15 SILVER GLASS BAUBLES IN BAG,-144,2011-02-07 15:52:00,1.06,15513.0,United Kingdom,False,-152.64000000000001
609835,C543384,48173C,DOORMAT BLACK FLOCK ,-1,2011-02-07 16:24:00,7.95,,United Kingdom,False,-7.95
609852,C543388,POST,POSTAGE,-3,2011-02-08 09:44:00,15.0,14646.0,Netherlands,False,-45.0
610173,C543431,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,-1,2011-02-08 11:37:00,2.55,12474.0,Germany,False,-2.55
610174,C543431,22090,PAPER BUNTING RETROSPOT,-1,2011-02-08 11:37:00,2.95,12474.0,Germany,False,-2.95
610175,C543431,22551,PLASTERS IN TIN SPACEBOY,-1,2011-02-08 11:37:00,1.65,12474.0,Germany,False,-1.65
610176,C543431,22212,FOUR HOOK  WHITE LOVEBIRDS,-1,2011-02-08 11:37:00,2.1,12474.0,Germany,False,-2.1
610177,C543442,84625A,PINK NEW BAROQUECANDLESTICK CANDLE,-3,2011-02-08 11:40:00,2.95,14911.0,EIRE,False,-8.850000000000001
610178,C543442,22797,CHEST OF DRAWERS GINGHAM HEART ,-1,2011-02-08 11:40:00,16.95,14911.0,EIRE,False,-16.95
610179,C543445,90098,NECKLACE+BRACELET PINK BUTTERFLY,-6,2011-02-08 11:45:00,2.55,12662.0,Germany,False,-15.299999999999999
610180,C543445,22231,JIGSAW TREE WITH BIRDHOUSE,-12,2011-02-08 11:45:00,1.45,12662.0,Germany,False,-17.4
610622,C543465,22778,GLASS CLOCHE SMALL,-2,2011-02-08 14:32:00,3.95,13873.0,United Kingdom,False,-7.9
610870,C543469,21258,VICTORIAN SEWING BOX LARGE,-1,2011-02-08 14:55:00,10.95,12709.0,Germany,False,-10.95
610871,C543469,22503,CABIN BAG VINTAGE PAISLEY,-1,2011-02-08 14:55:00,12.75,12709.0,Germany,False,-12.75
610872,C543469,21452,TOADSTOOL MONEY BOX,-2,2011-02-08 14:55:00,2.55,12709.0,Germany,False,-5.1
610873,C543469,21658,GLASS  BEURRE DISH,-2,2011-02-08 14:55:00,3.39,12709.0,Germany,False,-6.78
610874,C543469,22504,CABIN BAG VINTAGE RETROSPOT,-1,2011-02-08 14:55:00,12.75,12709.0,Germany,False,-12.75
610875,C543469,22627,MINT KITCHEN SCALES,-1,2011-02-08 14:55:00,7.65,12709.0,Germany,False,-7.65
610876,C543469,22423,REGENCY CAKESTAND 3 TIER,-2,2011-02-08 14:55:00,10.95,12709.0,Germany,False,-21.9
610877,C543469,85232B,SET OF 3 BABUSHKA STACKING TINS,-1,2011-02-08 14:55:00,4.25,12709.0,Germany,False,-4.25
610878,C543469,21896,POTTING SHED TWINE,-1,2011-02-08 14:55:00,1.85,12709.0,Germany,False,-1.85
611004,C543475,84881,BLUE WIRE SPIRAL CANDLE HOLDER,-1,2011-02-08 15:15:00,6.35,14415.0,United Kingdom,False,-6.35
611005,C543475,22637,PIGGY BANK RETROSPOT ,-1,2011-02-08 15:15:00,2.55,14415.0,United Kingdom,False,-2.55
611006,C543475,84792,ENCHANTED BIRD COATHANGER 5 HOOK,-1,2011-02-08 15:15:00,4.65,14415.0,United Kingdom,False,-4.65
611007,C543475,22244,3 HOOK HANGER MAGIC GARDEN,-1,2011-02-08 15:15:00,1.95,14415.0,United Kingdom,False,-1.95
611008,C543475,22465,HANGING METAL STAR LANTERN,-1,2011-02-08 15:15:00,1.65,14415.0,United Kingdom,False,-1.65
611975,C543551,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,-76,2011-02-10 10:00:00,7.65,16716.0,United Kingdom,False,-581.4
612298,C543603,22727,ALARM CLOCK BAKELIKE RED ,-1,2011-02-10 13:40:00,3.75,15570.0,United Kingdom,False,-3.75
612299,C543603,21877,HOME SWEET HOME MUG,-2,2011-02-10 13:40:00,1.25,15570.0,United Kingdom,False,-2.5
612300,C543603,22487,WHITE WOOD GARDEN PLANT LADDER,-1,2011-02-10 13:40:00,9.95,15570.0,United Kingdom,False,-9.95
612301,C543603,22941,CHRISTMAS LIGHTS 10 REINDEER,-2,2011-02-10 13:40:00,8.5,15570.0,United Kingdom,False,-17.0
612302,C543603,35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,2011-02-10 13:40:00,5.45,15570.0,United Kingdom,False,-5.45
612303,C543603,82483,WOOD 2 DRAWER CABINET WHITE FINISH,-1,2011-02-10 13:40:00,6.95,15570.0,United Kingdom,False,-6.95
612304,C543603,22776,SWEETHEART CAKESTAND 3 TIER,-1,2011-02-10 13:40:00,9.95,15570.0,United Kingdom,False,-9.95
612323,C543605,82486,WOOD S/3 CABINET ANT WHITE FINISH,-4,2011-02-10 14:11:00,8.95,13110.0,United Kingdom,False,-35.8
612324,C543607,22423,REGENCY CAKESTAND 3 TIER,-1,2011-02-10 14:13:00,12.75,15602.0,United Kingdom,False,-12.75
612325,C543606,22963,JAM JAR WITH GREEN LID,-1,2011-02-10 14:13:00,0.85,14665.0,United Kingdom,False,-0.85
612326,C543606,22847,BREAD BIN DINER STYLE IVORY,-1,2011-02-10 14:13:00,16.95,14665.0,United Kingdom,False,-16.95
612327,C543608,82483,WOOD 2 DRAWER CABINET WHITE FINISH,-1,2011-02-10 14:15:00,6.95,17230.0,United Kingdom,False,-6.95
612328,C543609,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-1,2011-02-10 14:17:00,2.55,16705.0,United Kingdom,False,-2.55
612329,C543609,22456,NATURAL SLATE CHALKBOARD LARGE ,-1,2011-02-10 14:17:00,4.95,16705.0,United Kingdom,False,-4.95
612351,C543611,82483,WOOD 2 DRAWER CABINET WHITE FINISH,-1,2011-02-10 14:38:00,4.95,17850.0,United Kingdom,False,-4.95
612352,C543611,22632,HAND WARMER RED RETROSPOT,-6,2011-02-10 14:38:00,1.85,17850.0,United Kingdom,False,-11.100000000000001
612353,C543611,82483,WOOD 2 DRAWER CABINET WHITE FINISH,-1,2011-02-10 14:38:00,4.95,17850.0,United Kingdom,True,-4.95
612354,C543611,21871,SAVE THE PLANET MUG,-1,2011-02-10 14:38:00,1.06,17850.0,United Kingdom,False,-1.06
612355,C543611,82494L,WOODEN FRAME ANTIQUE WHITE ,-2,2011-02-10 14:38:00,2.55,17850.0,United Kingdom,False,-5.1
612356,C543611,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-1,2011-02-10 14:38:00,4.25,17850.0,United Kingdom,False,-4.25
612357,C543611,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-1,2011-02-10 14:38:00,4.95,17850.0,United Kingdom,False,-4.95
612358,C543611,82494L,WOODEN FRAME ANTIQUE WHITE ,-12,2011-02-10 14:38:00,2.55,17850.0,United Kingdom,False,-30.599999999999998
612359,C543611,21071,VINTAGE BILLBOARD DRINK ME MUG,-6,2011-02-10 14:38:00,1.06,17850.0,United Kingdom,False,-6.36
612360,C543611,82483,WOOD 2 DRAWER CABINET WHITE FINISH,-2,2011-02-10 14:38:00,4.95,17850.0,United Kingdom,False,-9.9
612361,C543611,82483,WOOD 2 DRAWER CABINET WHITE FINISH,-1,2011-02-10 14:38:00,4.95,17850.0,United Kingdom,True,-4.95
612362,C543611,21874,GIN AND TONIC MUG,-1,2011-02-10 14:38:00,1.06,17850.0,United Kingdom,False,-1.06
612363,C543611,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-2,2011-02-10 14:38:00,2.75,17850.0,United Kingdom,False,-5.5
612364,C543611,82483,WOOD 2 DRAWER CABINET WHITE FINISH,-1,2011-02-10 14:38:00,4.95,17850.0,United Kingdom,True,-4.95
612365,C543611,21169,YOU'RE CONFUSING ME METAL SIGN ,-2,2011-02-10 14:38:00,1.45,17850.0,United Kingdom,False,-2.9
612406,C543620,21217,RED RETROSPOT ROUND CAKE TINS,-1,2011-02-10 14:52:00,9.95,14081.0,United Kingdom,False,-9.95
612408,C543621,22767,TRIPLE PHOTO FRAME CORNICE ,-1,2011-02-10 14:59:00,9.95,14475.0,United Kingdom,False,-9.95
612409,C543621,22788,BROCANTE COAT RACK,-1,2011-02-10 14:59:00,9.95,14475.0,United Kingdom,False,-9.95
612410,C543621,20725,LUNCH BAG RED RETROSPOT,-1,2011-02-10 14:59:00,1.65,14475.0,United Kingdom,False,-1.65
612413,C543624,M,Manual,-200,2011-02-10 15:33:00,0.41,12931.0,United Kingdom,False,-82.0
612446,C543627,21754,HOME BUILDING BLOCK WORD,-1,2011-02-10 15:50:00,5.95,15601.0,United Kingdom,False,-5.95
612447,C543628,22960,JAM MAKING SET WITH JARS,-1,2011-02-10 15:51:00,4.25,16558.0,United Kingdom,False,-4.25
612448,C543628,21232,STRAWBERRY CERAMIC TRINKET BOX,-4,2011-02-10 15:51:00,1.25,16558.0,United Kingdom,False,-5.0
612604,C543632,22655,VINTAGE RED KITCHEN CABINET,-1,2011-02-10 16:22:00,295.0,14842.0,United Kingdom,False,-295.0
612605,C543633,85059,FRENCH ENAMEL WATER BASIN,-5,2011-02-10 16:24:00,3.75,17188.0,United Kingdom,False,-18.75
612606,C543633,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,-6,2011-02-10 16:24:00,2.95,17188.0,United Kingdom,False,-17.700000000000003
612607,C543633,22697,GREEN REGENCY TEACUP AND SAUCER,-1,2011-02-10 16:24:00,2.95,17188.0,United Kingdom,False,-2.95
612608,C543633,22776,SWEETHEART CAKESTAND 3 TIER,-5,2011-02-10 16:24:00,9.95,17188.0,United Kingdom,False,-49.75
612609,C543634,20803,SMALL PINK GLASS SUNDAE DISH,-32,2011-02-10 16:31:00,0.42,13599.0,United Kingdom,False,-13.44
612610,C543634,20801,LARGE PINK GLASS SUNDAE DISH,-16,2011-02-10 16:31:00,0.75,13599.0,United Kingdom,False,-12.0
612611,C543635,84949,SILVER HANGING T-LIGHT HOLDER,-6,2011-02-10 16:33:00,1.65,13894.0,United Kingdom,False,-9.899999999999999
612612,C543636,22727,ALARM CLOCK BAKELIKE RED ,-1,2011-02-10 16:34:00,3.75,13767.0,United Kingdom,False,-3.75
612613,C543637,22333,RETROSPOT PARTY BAG + STICKER SET,-8,2011-02-10 16:35:00,1.65,15738.0,United Kingdom,False,-13.2
612614,C543638,22551,PLASTERS IN TIN SPACEBOY,-1,2011-02-10 16:40:00,1.65,16403.0,United Kingdom,False,-1.65
612615,C543638,22629,SPACEBOY LUNCH BOX ,-1,2011-02-10 16:40:00,1.95,16403.0,United Kingdom,False,-1.95
612616,C543638,22383,LUNCH BAG SUKI  DESIGN ,-2,2011-02-10 16:40:00,1.65,16403.0,United Kingdom,False,-3.3
612617,C543638,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,-4,2011-02-10 16:40:00,1.45,16403.0,United Kingdom,False,-5.8
612618,C543638,21232,STRAWBERRY CERAMIC TRINKET BOX,-3,2011-02-10 16:40:00,1.25,16403.0,United Kingdom,False,-3.75
612638,C543640,22504,CABIN BAG VINTAGE RETROSPOT,-1,2011-02-10 17:06:00,29.95,12967.0,United Kingdom,False,-29.95
612674,C543643,22968,ROSE COTTAGE KEEPSAKE BOX ,-1,2011-02-10 17:44:00,9.95,16161.0,United Kingdom,False,-9.95
612675,C543643,21642,ASSORTED TUTTI FRUTTI PEN,-5,2011-02-10 17:44:00,0.85,16161.0,United Kingdom,False,-4.25
612676,C543643,22470,HEART OF WICKER LARGE,-2,2011-02-10 17:44:00,2.95,16161.0,United Kingdom,False,-5.9
612677,C543643,21564,PINK  HEART SHAPE LOVE BUCKET ,-1,2011-02-10 17:44:00,2.95,16161.0,United Kingdom,False,-2.95
612678,C543643,22866,HAND WARMER SCOTTY DOG DESIGN,-1,2011-02-10 17:44:00,2.1,16161.0,United Kingdom,False,-2.1
612679,C543643,22382,LUNCH BAG SPACEBOY DESIGN ,-1,2011-02-10 17:44:00,1.65,16161.0,United Kingdom,False,-1.65
612680,C543643,20713,JUMBO BAG OWLS,-1,2011-02-10 17:44:00,1.95,16161.0,United Kingdom,False,-1.95
612681,C543644,84406B,CREAM CUPID HEARTS COAT HANGER,-2,2011-02-10 17:50:00,4.15,17609.0,United Kingdom,False,-8.3
612892,C543659,21198,WHITE HEART CONFETTI IN TUBE,-48,2011-02-11 10:40:00,0.42,16730.0,United Kingdom,False,-20.16
612893,C543659,21199,PINK  HEART CONFETTI IN TUBE,-48,2011-02-11 10:40:00,0.42,16730.0,United Kingdom,False,-20.16
613060,C543661,22752,SET 7 BABUSHKA NESTING BOXES,-1,2011-02-11 10:41:00,8.5,12471.0,Germany,False,-8.5
613061,C543661,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,-3,2011-02-11 10:41:00,4.95,12471.0,Germany,False,-14.850000000000001
613062,C543661,22649,STRAWBERRY FAIRY CAKE TEAPOT,-4,2011-02-11 10:41:00,4.95,12471.0,Germany,False,-19.8
613063,C543661,22423,REGENCY CAKESTAND 3 TIER,-7,2011-02-11 10:41:00,10.95,12471.0,Germany,False,-76.64999999999999
